obfuscated,deobfuscated,mc_class
field_76303_c,enchantmentLevel,net/minecraft/enchantment/EnchantmentData
field_77354_A,protectionName,net/minecraft/enchantment/EnchantmentProtection
field_77355_B,baseEnchantability,net/minecraft/enchantment/EnchantmentProtection
field_77357_C,levelEnchantability,net/minecraft/enchantment/EnchantmentProtection
field_77353_D,thresholdEnchantability,net/minecraft/enchantment/EnchantmentProtection
field_77356_a,protectionType,net/minecraft/enchantment/EnchantmentProtection
field_77403_a,itemToBuy,net/minecraft/village/MerchantRecipe
field_77401_b,secondItemToBuy,net/minecraft/village/MerchantRecipe
field_77402_c,itemToSell,net/minecraft/village/MerchantRecipe
field_77400_d,toolUses,net/minecraft/village/MerchantRecipe
field_82786_e,maxTradeUses,net/minecraft/village/MerchantRecipe
field_180323_f,rewardsExp,net/minecraft/village/MerchantRecipe
field_174804_a,field_174804_a,net/minecraft/command/CommandExecuteAt$1
field_174802_b,field_174802_b,net/minecraft/command/CommandExecuteAt$1
field_174803_c,field_174803_c,net/minecraft/command/CommandExecuteAt$1
field_174800_d,field_174800_d,net/minecraft/command/CommandExecuteAt$1
field_174801_e,field_174801_e,net/minecraft/command/CommandExecuteAt$1
field_174798_f,field_174798_f,net/minecraft/command/CommandExecuteAt$1
field_174799_g,field_174799_g,net/minecraft/command/CommandExecuteAt$1
field_180325_a,field_180325_a,net/minecraft/command/server/CommandBlockLogic$1
field_180327_a,field_180327_a,net/minecraft/command/server/CommandBlockLogic$2
field_145766_a,timestampFormat,net/minecraft/command/server/CommandBlockLogic
field_145764_b,successCount,net/minecraft/command/server/CommandBlockLogic
field_145765_c,trackOutput,net/minecraft/command/server/CommandBlockLogic
field_145762_d,lastOutput,net/minecraft/command/server/CommandBlockLogic
field_145763_e,commandStored,net/minecraft/command/server/CommandBlockLogic
field_145761_f,customName,net/minecraft/command/server/CommandBlockLogic
field_175575_g,resultStats,net/minecraft/command/server/CommandBlockLogic
field_98221_d,field_98221_d,net/minecraft/tileentity/MobSpawnerBaseLogic$WeightedRandomMinecart
field_98222_b,nbtData,net/minecraft/tileentity/MobSpawnerBaseLogic$WeightedRandomMinecart
field_98223_c,entityType,net/minecraft/tileentity/MobSpawnerBaseLogic$WeightedRandomMinecart
field_98286_b,spawnDelay,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98288_a,mobID,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98285_e,minecartToSpawn,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98282_f,randomEntity,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98287_c,mobRotation,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98284_d,prevMobRotation,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98283_g,minSpawnDelay,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98293_h,maxSpawnDelay,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98294_i,spawnCount,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98291_j,cachedEntity,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98292_k,maxNearbyEntities,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98289_l,activatingRangeFromPlayer,net/minecraft/tileentity/MobSpawnerBaseLogic
field_98290_m,spawnRange,net/minecraft/tileentity/MobSpawnerBaseLogic
field_180329_a,position,net/minecraft/block/BlockEventData
field_151344_d,blockType,net/minecraft/block/BlockEventData
field_151345_e,eventID,net/minecraft/block/BlockEventData
field_151343_f,eventParameter,net/minecraft/block/BlockEventData
SOLID,SOLID,net/minecraft/util/EnumWorldBlockLayer
CUTOUT_MIPPED,CUTOUT_MIPPED,net/minecraft/util/EnumWorldBlockLayer
CUTOUT,CUTOUT,net/minecraft/util/EnumWorldBlockLayer
TRANSLUCENT,TRANSLUCENT,net/minecraft/util/EnumWorldBlockLayer
field_180338_e,layerName,net/minecraft/util/EnumWorldBlockLayer
$VALUES,$VALUES,net/minecraft/util/EnumWorldBlockLayer
field_77276_a,chunkXPos,net/minecraft/world/ChunkCoordIntPair
field_77275_b,chunkZPos,net/minecraft/world/ChunkCoordIntPair
field_77286_a,isFlaming,net/minecraft/world/Explosion
field_82755_b,isSmoking,net/minecraft/world/Explosion
field_77290_i,explosionRNG,net/minecraft/world/Explosion
field_77287_j,worldObj,net/minecraft/world/Explosion
field_77284_b,explosionX,net/minecraft/world/Explosion
field_77285_c,explosionY,net/minecraft/world/Explosion
field_77282_d,explosionZ,net/minecraft/world/Explosion
field_77283_e,exploder,net/minecraft/world/Explosion
field_77280_f,explosionSize,net/minecraft/world/Explosion
field_77281_g,affectedBlockPositions,net/minecraft/world/Explosion
field_77288_k,playerKnockbackMap,net/minecraft/world/Explosion
field_77471_a,foliageBuffer,net/minecraft/world/ColorizerFoliage
field_82762_a,valueString,net/minecraft/world/GameRules$Value
field_82760_b,valueBoolean,net/minecraft/world/GameRules$Value
field_82761_c,valueInteger,net/minecraft/world/GameRules$Value
field_82759_d,valueDouble,net/minecraft/world/GameRules$Value
field_180256_e,type,net/minecraft/world/GameRules$Value
ANY_VALUE,ANY_VALUE,net/minecraft/world/GameRules$ValueType
BOOLEAN_VALUE,BOOLEAN_VALUE,net/minecraft/world/GameRules$ValueType
NUMERICAL_VALUE,NUMERICAL_VALUE,net/minecraft/world/GameRules$ValueType
$VALUES,$VALUES,net/minecraft/world/GameRules$ValueType
field_82771_a,theGameRules,net/minecraft/world/GameRules
field_77481_a,grassBuffer,net/minecraft/world/ColorizerGrass
field_180253_a,field_180253_a,net/minecraft/world/World$1
field_77485_a,field_77485_a,net/minecraft/world/World$1
field_151300_a,field_151300_a,net/minecraft/world/World$2
field_77405_a,field_77405_a,net/minecraft/world/World$2
field_77440_a,field_77440_a,net/minecraft/world/World$3
field_151308_a,field_151308_a,net/minecraft/world/World$4
field_72982_D,villageCollectionObj,net/minecraft/world/World
field_72984_F,theProfiler,net/minecraft/world/World
field_96442_D,worldScoreboard,net/minecraft/world/World
field_72995_K,isRemote,net/minecraft/world/World
field_72993_I,activeChunkSet,net/minecraft/world/World
field_72985_G,spawnHostileMobs,net/minecraft/world/World
field_72992_H,spawnPeacefulMobs,net/minecraft/world/World
field_72994_J,lightUpdateBlockList,net/minecraft/world/World
field_73008_k,skylightSubtracted,net/minecraft/world/World
field_73016_r,lastLightningBolt,net/minecraft/world/World
field_83016_L,theCalendar,net/minecraft/world/World
field_72990_M,ambientTickCountdown,net/minecraft/world/World
field_147481_N,processingLoadedTiles,net/minecraft/world/World
field_175728_M,worldBorder,net/minecraft/world/World
field_181546_a,seaLevel,net/minecraft/world/World
field_147484_a,addedTileEntityList,net/minecraft/world/World
field_147483_b,tileEntitiesToBeRemoved,net/minecraft/world/World
field_73001_c,cloudColour,net/minecraft/world/World
field_72999_e,scheduledUpdatesAreImmediate,net/minecraft/world/World
field_72996_f,loadedEntityList,net/minecraft/world/World
field_72997_g,unloadedEntityList,net/minecraft/world/World
field_147482_g,loadedTileEntityList,net/minecraft/world/World
field_175730_i,tickableTileEntities,net/minecraft/world/World
field_73010_i,playerEntities,net/minecraft/world/World
field_73007_j,weatherEffects,net/minecraft/world/World
field_175729_l,entitiesById,net/minecraft/world/World
field_73005_l,updateLCG,net/minecraft/world/World
field_73006_m,DIST_HASH_MAGIC,net/minecraft/world/World
field_73003_n,prevRainingStrength,net/minecraft/world/World
field_73004_o,rainingStrength,net/minecraft/world/World
field_73018_p,prevThunderingStrength,net/minecraft/world/World
field_73017_q,thunderingStrength,net/minecraft/world/World
field_73012_v,rand,net/minecraft/world/World
field_73011_w,provider,net/minecraft/world/World
field_73021_x,worldAccesses,net/minecraft/world/World
field_73020_y,chunkProvider,net/minecraft/world/World
field_73019_z,saveHandler,net/minecraft/world/World
field_72986_A,worldInfo,net/minecraft/world/World
field_72987_B,findingSpawnPoint,net/minecraft/world/World
field_72988_C,mapStorage,net/minecraft/world/World
NOT_SET,NOT_SET,net/minecraft/world/WorldSettings$GameType
SURVIVAL,SURVIVAL,net/minecraft/world/WorldSettings$GameType
CREATIVE,CREATIVE,net/minecraft/world/WorldSettings$GameType
ADVENTURE,ADVENTURE,net/minecraft/world/WorldSettings$GameType
SPECTATOR,SPECTATOR,net/minecraft/world/WorldSettings$GameType
field_77154_e,id,net/minecraft/world/WorldSettings$GameType
field_77151_f,name,net/minecraft/world/WorldSettings$GameType
$VALUES,$VALUES,net/minecraft/world/WorldSettings$GameType
field_77174_a,seed,net/minecraft/world/WorldSettings
field_77172_b,theGameType,net/minecraft/world/WorldSettings
field_77173_c,mapFeaturesEnabled,net/minecraft/world/WorldSettings
field_77170_d,hardcoreEnabled,net/minecraft/world/WorldSettings
field_77171_e,terrainType,net/minecraft/world/WorldSettings
field_77168_f,commandsAllowed,net/minecraft/world/WorldSettings
field_77169_g,bonusChestEnabled,net/minecraft/world/WorldSettings
field_82751_h,worldName,net/minecraft/world/WorldSettings
field_77139_a,worldTypes,net/minecraft/world/WorldType
field_77137_b,DEFAULT,net/minecraft/world/WorldType
field_77138_c,FLAT,net/minecraft/world/WorldType
field_77135_d,LARGE_BIOMES,net/minecraft/world/WorldType
field_151360_e,AMPLIFIED,net/minecraft/world/WorldType
field_180271_f,CUSTOMIZED,net/minecraft/world/WorldType
field_180272_g,DEBUG_WORLD,net/minecraft/world/WorldType
field_77136_e,DEFAULT_1_1,net/minecraft/world/WorldType
field_82748_f,worldTypeId,net/minecraft/world/WorldType
field_77133_f,worldType,net/minecraft/world/WorldType
field_77134_g,generatorVersion,net/minecraft/world/WorldType
field_77140_h,canBeCreated,net/minecraft/world/WorldType
field_77141_i,isWorldTypeVersioned,net/minecraft/world/WorldType
field_151361_l,hasNotificationData,net/minecraft/world/WorldType
SKY,SKY,net/minecraft/world/EnumSkyBlock
BLOCK,BLOCK,net/minecraft/world/EnumSkyBlock
field_77198_c,defaultLightValue,net/minecraft/world/EnumSkyBlock
$VALUES,$VALUES,net/minecraft/world/EnumSkyBlock
field_180268_a,MOB_COUNT_DIV,net/minecraft/world/SpawnerAnimals
field_77193_b,eligibleChunksForSpawning,net/minecraft/world/SpawnerAnimals
field_85087_d,lastUpdateTime,net/minecraft/world/Teleporter$PortalPosition
field_85088_e,field_85088_e,net/minecraft/world/Teleporter$PortalPosition
field_85192_a,worldServerInstance,net/minecraft/world/Teleporter
field_77187_a,random,net/minecraft/world/Teleporter
field_85191_c,destinationCoordinateCache,net/minecraft/world/Teleporter
field_85190_d,destinationCoordinateKeys,net/minecraft/world/Teleporter
field_72818_a,chunkX,net/minecraft/world/ChunkCache
field_72816_b,chunkZ,net/minecraft/world/ChunkCache
field_72817_c,chunkArray,net/minecraft/world/ChunkCache
field_72814_d,hasExtendedLevels,net/minecraft/world/ChunkCache
field_72815_e,worldObj,net/minecraft/world/ChunkCache
field_180282_a,position,net/minecraft/world/NextTickListEntry
field_77180_e,scheduledTime,net/minecraft/world/NextTickListEntry
field_82754_f,priority,net/minecraft/world/NextTickListEntry
field_77177_f,nextTickEntryID,net/minecraft/world/NextTickListEntry
field_151352_g,block,net/minecraft/world/NextTickListEntry
field_77178_g,tickEntryID,net/minecraft/world/NextTickListEntry
field_180275_a,field_180275_a,net/minecraft/world/biome/BiomeGenBase$1
field_150777_a,rootHeight,net/minecraft/world/biome/BiomeGenBase$Height
field_150776_b,variation,net/minecraft/world/biome/BiomeGenBase$Height
OCEAN,OCEAN,net/minecraft/world/biome/BiomeGenBase$TempCategory
COLD,COLD,net/minecraft/world/biome/BiomeGenBase$TempCategory
MEDIUM,MEDIUM,net/minecraft/world/biome/BiomeGenBase$TempCategory
WARM,WARM,net/minecraft/world/biome/BiomeGenBase$TempCategory
$VALUES,$VALUES,net/minecraft/world/biome/BiomeGenBase$TempCategory
field_76300_b,entityClass,net/minecraft/world/biome/BiomeGenBase$SpawnListEntry
field_76301_c,minGroupCount,net/minecraft/world/biome/BiomeGenBase$SpawnListEntry
field_76299_d,maxGroupCount,net/minecraft/world/biome/BiomeGenBase$SpawnListEntry
field_76777_m,frozenRiver,net/minecraft/world/biome/BiomeGenBase
field_76774_n,icePlains,net/minecraft/world/biome/BiomeGenBase
field_76775_o,iceMountains,net/minecraft/world/biome/BiomeGenBase
field_76789_p,mushroomIsland,net/minecraft/world/biome/BiomeGenBase
field_76788_q,mushroomIslandShore,net/minecraft/world/biome/BiomeGenBase
field_76787_r,beach,net/minecraft/world/biome/BiomeGenBase
field_76786_s,desertHills,net/minecraft/world/biome/BiomeGenBase
field_76785_t,forestHills,net/minecraft/world/biome/BiomeGenBase
field_76784_u,taigaHills,net/minecraft/world/biome/BiomeGenBase
field_76783_v,extremeHillsEdge,net/minecraft/world/biome/BiomeGenBase
field_76782_w,jungle,net/minecraft/world/biome/BiomeGenBase
field_76792_x,jungleHills,net/minecraft/world/biome/BiomeGenBase
field_150574_L,jungleEdge,net/minecraft/world/biome/BiomeGenBase
field_150575_M,deepOcean,net/minecraft/world/biome/BiomeGenBase
field_150576_N,stoneBeach,net/minecraft/world/biome/BiomeGenBase
field_150577_O,coldBeach,net/minecraft/world/biome/BiomeGenBase
field_150583_P,birchForest,net/minecraft/world/biome/BiomeGenBase
field_150582_Q,birchForestHills,net/minecraft/world/biome/BiomeGenBase
field_150585_R,roofedForest,net/minecraft/world/biome/BiomeGenBase
field_150584_S,coldTaiga,net/minecraft/world/biome/BiomeGenBase
field_150579_T,coldTaigaHills,net/minecraft/world/biome/BiomeGenBase
field_150578_U,megaTaiga,net/minecraft/world/biome/BiomeGenBase
field_150581_V,megaTaigaHills,net/minecraft/world/biome/BiomeGenBase
field_150580_W,extremeHillsPlus,net/minecraft/world/biome/BiomeGenBase
field_150588_X,savanna,net/minecraft/world/biome/BiomeGenBase
field_150587_Y,savannaPlateau,net/minecraft/world/biome/BiomeGenBase
field_150596_a,height_Default,net/minecraft/world/biome/BiomeGenBase
field_76757_N,worldGeneratorTrees,net/minecraft/world/biome/BiomeGenBase
field_76758_O,worldGeneratorBigTree,net/minecraft/world/biome/BiomeGenBase
field_76763_Q,worldGeneratorSwamp,net/minecraft/world/biome/BiomeGenBase
field_150586_aC,logger,net/minecraft/world/biome/BiomeGenBase
field_76773_a,biomeList,net/minecraft/world/biome/BiomeGenBase
field_150589_Z,mesa,net/minecraft/world/biome/BiomeGenBase
field_150607_aa,mesaPlateau_F,net/minecraft/world/biome/BiomeGenBase
field_150608_ab,mesaPlateau,net/minecraft/world/biome/BiomeGenBase
field_180279_ad,field_180279_ad,net/minecraft/world/biome/BiomeGenBase
field_150605_ac,temperatureNoise,net/minecraft/world/biome/BiomeGenBase
field_180281_af,GRASS_COLOR_NOISE,net/minecraft/world/biome/BiomeGenBase
field_180280_ag,DOUBLE_PLANT_GENERATOR,net/minecraft/world/biome/BiomeGenBase
field_76791_y,biomeName,net/minecraft/world/biome/BiomeGenBase
field_76790_z,color,net/minecraft/world/biome/BiomeGenBase
field_150609_ah,field_150609_ah,net/minecraft/world/biome/BiomeGenBase
field_76752_A,topBlock,net/minecraft/world/biome/BiomeGenBase
field_76753_B,fillerBlock,net/minecraft/world/biome/BiomeGenBase
field_76754_C,fillerBlockMetadata,net/minecraft/world/biome/BiomeGenBase
field_76748_D,minHeight,net/minecraft/world/biome/BiomeGenBase
field_76749_E,maxHeight,net/minecraft/world/biome/BiomeGenBase
field_76750_F,temperature,net/minecraft/world/biome/BiomeGenBase
field_76751_G,rainfall,net/minecraft/world/biome/BiomeGenBase
field_76759_H,waterColorMultiplier,net/minecraft/world/biome/BiomeGenBase
field_76760_I,theBiomeDecorator,net/minecraft/world/biome/BiomeGenBase
field_76761_J,spawnableMonsterList,net/minecraft/world/biome/BiomeGenBase
field_76762_K,spawnableCreatureList,net/minecraft/world/biome/BiomeGenBase
field_76755_L,spawnableWaterCreatureList,net/minecraft/world/biome/BiomeGenBase
field_82914_M,spawnableCaveCreatureList,net/minecraft/world/biome/BiomeGenBase
field_76766_R,enableSnow,net/minecraft/world/biome/BiomeGenBase
field_76765_S,enableRain,net/minecraft/world/biome/BiomeGenBase
field_76756_M,biomeID,net/minecraft/world/biome/BiomeGenBase
field_150594_b,height_ShallowWaters,net/minecraft/world/biome/BiomeGenBase
field_150595_c,height_Oceans,net/minecraft/world/biome/BiomeGenBase
field_150592_d,height_DeepOceans,net/minecraft/world/biome/BiomeGenBase
field_150593_e,height_LowPlains,net/minecraft/world/biome/BiomeGenBase
field_150590_f,height_MidPlains,net/minecraft/world/biome/BiomeGenBase
field_150591_g,height_LowHills,net/minecraft/world/biome/BiomeGenBase
field_150602_h,height_HighPlateaus,net/minecraft/world/biome/BiomeGenBase
field_150603_i,height_MidHills,net/minecraft/world/biome/BiomeGenBase
