obfuscated,deobfuscated,mc_class
func_180525_a,addTabCompletionOptions,net/minecraft/command/server/CommandEmote,net/minecraft/command/CommandEnchant,net/minecraft/command/CommandExecuteAt,net/minecraft/command/CommandXP,net/minecraft/command/CommandFill,net/minecraft/command/CommandDifficulty,net/minecraft/command/CommandGameMode,net/minecraft/command/CommandGameRule,net/minecraft/command/CommandGive,net/minecraft/command/CommandHelp,net/minecraft/command/CommandServerKick,net/minecraft/command/CommandKill,net/minecraft/command/server/CommandListBans,net/minecraft/command/server/CommandMessage,net/minecraft/command/server/CommandMessageRaw,net/minecraft/command/server/CommandOp,net/minecraft/command/server/CommandPardonIp,net/minecraft/command/server/CommandPardonPlayer,net/minecraft/command/CommandParticle,net/minecraft/command/CommandPlaySound,net/minecraft/command/CommandReplaceItem,net/minecraft/command/server/CommandBroadcast,net/minecraft/command/server/CommandScoreboard,net/minecraft/command/server/CommandSetBlock,net/minecraft/command/server/CommandSetDefaultSpawnpoint,net/minecraft/command/CommandSetSpawnpoint,net/minecraft/command/CommandSpreadPlayers,net/minecraft/command/CommandStats,net/minecraft/command/server/CommandSummon,net/minecraft/command/server/CommandTeleport,net/minecraft/command/server/CommandTestForBlock,net/minecraft/command/server/CommandTestFor,net/minecraft/command/CommandTime,net/minecraft/command/CommandTitle,net/minecraft/command/CommandTrigger,net/minecraft/command/CommandWeather,net/minecraft/command/server/CommandWhitelist,net/minecraft/command/CommandWorldBorder,net/minecraft/command/CommandBase,net/minecraft/command/ICommand,net/minecraft/command/server/CommandAchievement,net/minecraft/command/server/CommandBanIp,net/minecraft/command/server/CommandBanPlayer,net/minecraft/command/CommandBlockData,net/minecraft/command/CommandClearInventory,net/minecraft/command/CommandClone,net/minecraft/command/CommandCompare,net/minecraft/command/server/CommandDeOp,net/minecraft/command/CommandDebug,net/minecraft/command/CommandEffect
func_71517_b,getCommandName,net/minecraft/command/server/CommandEmote,net/minecraft/command/CommandEnchant,net/minecraft/command/CommandEntityData,net/minecraft/command/CommandExecuteAt,net/minecraft/command/CommandXP,net/minecraft/command/CommandFill,net/minecraft/command/CommandDifficulty,net/minecraft/command/CommandGameMode,net/minecraft/command/CommandGameRule,net/minecraft/command/CommandGive,net/minecraft/command/CommandHelp,net/minecraft/command/CommandServerKick,net/minecraft/command/CommandKill,net/minecraft/command/server/CommandListBans,net/minecraft/command/server/CommandListPlayers,net/minecraft/command/server/CommandMessage,net/minecraft/command/server/CommandMessageRaw,net/minecraft/command/server/CommandOp,net/minecraft/command/server/CommandPardonIp,net/minecraft/command/server/CommandPardonPlayer,net/minecraft/command/CommandParticle,net/minecraft/command/CommandPlaySound,net/minecraft/command/server/CommandPublishLocalServer,net/minecraft/command/CommandReplaceItem,net/minecraft/command/server/CommandSaveAll,net/minecraft/command/server/CommandSaveOff,net/minecraft/command/server/CommandSaveOn,net/minecraft/command/server/CommandBroadcast,net/minecraft/command/server/CommandScoreboard,net/minecraft/command/server/CommandSetBlock,net/minecraft/command/server/CommandSetDefaultSpawnpoint,net/minecraft/command/CommandSetPlayerTimeout,net/minecraft/command/CommandSetSpawnpoint,net/minecraft/command/CommandShowSeed,net/minecraft/command/CommandSpreadPlayers,net/minecraft/command/CommandStats,net/minecraft/command/server/CommandStop,net/minecraft/command/server/CommandSummon,net/minecraft/command/server/CommandTeleport,net/minecraft/command/server/CommandTestForBlock,net/minecraft/command/server/CommandTestFor,net/minecraft/command/CommandTime,net/minecraft/command/CommandTitle,net/minecraft/command/CommandToggleDownfall,net/minecraft/command/CommandTrigger,net/minecraft/command/CommandWeather,net/minecraft/command/server/CommandWhitelist,net/minecraft/command/CommandWorldBorder,net/minecraft/command/ICommand,net/minecraft/command/server/CommandAchievement,net/minecraft/command/server/CommandBanIp,net/minecraft/command/server/CommandBanPlayer,net/minecraft/command/CommandBlockData,net/minecraft/command/CommandClearInventory,net/minecraft/command/CommandClone,net/minecraft/command/CommandCompare,net/minecraft/command/server/CommandDeOp,net/minecraft/command/CommandDebug,net/minecraft/command/CommandDefaultGameMode,net/minecraft/command/CommandEffect
func_71518_a,getCommandUsage,net/minecraft/command/server/CommandEmote,net/minecraft/command/CommandEnchant,net/minecraft/command/CommandEntityData,net/minecraft/command/CommandExecuteAt,net/minecraft/command/CommandXP,net/minecraft/command/CommandFill,net/minecraft/command/CommandDifficulty,net/minecraft/command/CommandGameMode,net/minecraft/command/CommandGameRule,net/minecraft/command/CommandGive,net/minecraft/command/CommandHelp,net/minecraft/command/CommandServerKick,net/minecraft/command/CommandKill,net/minecraft/command/server/CommandListBans,net/minecraft/command/server/CommandListPlayers,net/minecraft/command/server/CommandMessage,net/minecraft/command/server/CommandMessageRaw,net/minecraft/command/server/CommandOp,net/minecraft/command/server/CommandPardonIp,net/minecraft/command/server/CommandPardonPlayer,net/minecraft/command/CommandParticle,net/minecraft/command/CommandPlaySound,net/minecraft/command/server/CommandPublishLocalServer,net/minecraft/command/CommandReplaceItem,net/minecraft/command/server/CommandSaveAll,net/minecraft/command/server/CommandSaveOff,net/minecraft/command/server/CommandSaveOn,net/minecraft/command/server/CommandBroadcast,net/minecraft/command/server/CommandScoreboard,net/minecraft/command/server/CommandSetBlock,net/minecraft/command/server/CommandSetDefaultSpawnpoint,net/minecraft/command/CommandSetPlayerTimeout,net/minecraft/command/CommandSetSpawnpoint,net/minecraft/command/CommandShowSeed,net/minecraft/command/CommandSpreadPlayers,net/minecraft/command/CommandStats,net/minecraft/command/server/CommandStop,net/minecraft/command/server/CommandSummon,net/minecraft/command/server/CommandTeleport,net/minecraft/command/server/CommandTestForBlock,net/minecraft/command/server/CommandTestFor,net/minecraft/command/CommandTime,net/minecraft/command/CommandTitle,net/minecraft/command/CommandToggleDownfall,net/minecraft/command/CommandTrigger,net/minecraft/command/CommandWeather,net/minecraft/command/server/CommandWhitelist,net/minecraft/command/CommandWorldBorder,net/minecraft/command/ICommand,net/minecraft/command/server/CommandAchievement,net/minecraft/command/server/CommandBanIp,net/minecraft/command/server/CommandBanPlayer,net/minecraft/command/CommandBlockData,net/minecraft/command/CommandClearInventory,net/minecraft/command/CommandClone,net/minecraft/command/CommandCompare,net/minecraft/command/server/CommandDeOp,net/minecraft/command/CommandDebug,net/minecraft/command/CommandDefaultGameMode,net/minecraft/command/CommandEffect
func_77647_b,getMetadata,net/minecraft/item/ItemLeaves,net/minecraft/item/ItemMultiTexture,net/minecraft/item/ItemPiston,net/minecraft/item/ItemSkull,net/minecraft/item/ItemSlab,net/minecraft/item/ItemSnow,net/minecraft/item/ItemColored,net/minecraft/item/ItemAnvilBlock,net/minecraft/item/ItemCloth,net/minecraft/item/Item
func_82790_a,getColorFromItemStack,net/minecraft/item/ItemLeaves,net/minecraft/item/ItemPotion,net/minecraft/item/ItemMonsterPlacer,net/minecraft/item/ItemColored,net/minecraft/item/ItemLilyPad,net/minecraft/item/ItemArmor,net/minecraft/item/ItemBanner,net/minecraft/item/ItemDoublePlant,net/minecraft/item/ItemFireworkCharge,net/minecraft/item/Item
func_77667_c,getUnlocalizedName,net/minecraft/item/ItemLeaves,net/minecraft/item/ItemMultiTexture,net/minecraft/item/ItemSkull,net/minecraft/item/ItemSlab,net/minecraft/item/ItemColored,net/minecraft/item/ItemBlock,net/minecraft/item/ItemCoal,net/minecraft/item/ItemDye,net/minecraft/item/ItemCloth,net/minecraft/item/ItemFishFood,net/minecraft/item/Item
func_150912_a,loadMapData,net/minecraft/item/ItemMap
func_77872_a,updateMapData,net/minecraft/item/ItemMap
func_77873_a,getMapData,net/minecraft/item/ItemMap
func_77663_a,onUpdate,net/minecraft/item/ItemMap,net/minecraft/item/Item
func_77624_a,addInformation,net/minecraft/item/ItemMap,net/minecraft/item/ItemPotion,net/minecraft/item/ItemRecord,net/minecraft/item/ItemEditableBook,net/minecraft/item/ItemBanner,net/minecraft/item/ItemEnchantedBook,net/minecraft/item/ItemFireworkCharge,net/minecraft/item/ItemFirework,net/minecraft/item/Item
func_150911_c,createMapDataPacket,net/minecraft/item/ItemMap,net/minecraft/item/ItemMapBase
func_77622_d,onCreated,net/minecraft/item/ItemMap,net/minecraft/item/Item
func_77659_a,onItemRightClick,net/minecraft/item/ItemBucketMilk,net/minecraft/item/ItemPotion,net/minecraft/item/ItemSnowball,net/minecraft/item/ItemMonsterPlacer,net/minecraft/item/ItemSword,net/minecraft/item/ItemLilyPad,net/minecraft/item/ItemWritableBook,net/minecraft/item/ItemEditableBook,net/minecraft/item/ItemArmor,net/minecraft/item/ItemBoat,net/minecraft/item/ItemGlassBottle,net/minecraft/item/ItemBow,net/minecraft/item/ItemBucket,net/minecraft/item/ItemCarrotOnAStick,net/minecraft/item/ItemEgg,net/minecraft/item/ItemEmptyMap,net/minecraft/item/ItemEnderEye,net/minecraft/item/ItemEnderPearl,net/minecraft/item/ItemExpBottle,net/minecraft/item/ItemFishingRod,net/minecraft/item/ItemFood,net/minecraft/item/Item
func_77654_b,onItemUseFinish,net/minecraft/item/ItemBucketMilk,net/minecraft/item/ItemPotion,net/minecraft/item/ItemBow,net/minecraft/item/ItemSoup,net/minecraft/item/ItemFood,net/minecraft/item/Item
func_77626_a,getMaxItemUseDuration,net/minecraft/item/ItemBucketMilk,net/minecraft/item/ItemPotion,net/minecraft/item/ItemSword,net/minecraft/item/ItemBow,net/minecraft/item/ItemFood,net/minecraft/item/Item
func_77661_b,getItemUseAction,net/minecraft/item/ItemBucketMilk,net/minecraft/item/ItemPotion,net/minecraft/item/ItemSword,net/minecraft/item/ItemBow,net/minecraft/item/ItemFood,net/minecraft/item/Item
func_82485_a,playDispenseSound,net/minecraft/item/ItemMinecart$1,net/minecraft/dispenser/BehaviorDefaultDispenseItem,net/minecraft/dispenser/BehaviorProjectileDispense,net/minecraft/init/Bootstrap$14,net/minecraft/init/Bootstrap$15,net/minecraft/init/Bootstrap$16,net/minecraft/init/Bootstrap$4,net/minecraft/init/Bootstrap$5,net/minecraft/init/Bootstrap$7,net/minecraft/init/Bootstrap$8
func_82487_b,dispenseStack,net/minecraft/item/ItemMinecart$1,net/minecraft/dispenser/BehaviorDefaultDispenseItem,net/minecraft/dispenser/BehaviorProjectileDispense,net/minecraft/init/Bootstrap$13,net/minecraft/init/Bootstrap$14,net/minecraft/init/Bootstrap$15,net/minecraft/init/Bootstrap$16,net/minecraft/init/Bootstrap$2,net/minecraft/init/Bootstrap$3,net/minecraft/init/Bootstrap$4,net/minecraft/init/Bootstrap$5,net/minecraft/init/Bootstrap$6,net/minecraft/init/Bootstrap$7,net/minecraft/init/Bootstrap$8,net/minecraft/item/ItemArmor$1
access$000,access$000,net/minecraft/item/ItemMinecart
func_180614_a,onItemUse,net/minecraft/item/ItemMinecart,net/minecraft/item/ItemRecord,net/minecraft/item/ItemRedstone,net/minecraft/item/ItemSeedFood,net/minecraft/item/ItemSeeds,net/minecraft/item/ItemSign,net/minecraft/item/ItemSkull,net/minecraft/item/ItemSlab,net/minecraft/item/ItemSnow,net/minecraft/item/ItemMonsterPlacer,net/minecraft/item/ItemArmorStand,net/minecraft/item/ItemBanner,net/minecraft/item/ItemBed,net/minecraft/item/ItemBlock,net/minecraft/item/ItemReed,net/minecraft/item/ItemDoor,net/minecraft/item/ItemDye,net/minecraft/item/ItemEnderEye,net/minecraft/item/ItemFireball,net/minecraft/item/ItemFirework,net/minecraft/item/ItemFlintAndSteel,net/minecraft/item/ItemHangingEntity,net/minecraft/item/ItemHoe,net/minecraft/item/Item,net/minecraft/item/ItemLead
apply,apply,net/minecraft/item/ItemMultiTexture$1
apply,apply,net/minecraft/item/ItemMultiTexture$1
func_111207_a,itemInteractionForEntity,net/minecraft/item/ItemNameTag,net/minecraft/item/ItemSaddle,net/minecraft/item/ItemDye,net/minecraft/item/Item
func_150893_a,getStrVsBlock,net/minecraft/item/ItemPickaxe,net/minecraft/item/ItemShears,net/minecraft/item/ItemSword,net/minecraft/item/ItemAxe,net/minecraft/item/ItemTool,net/minecraft/item/Item
func_150897_b,canHarvestBlock,net/minecraft/item/ItemPickaxe,net/minecraft/item/ItemShears,net/minecraft/item/ItemSpade,net/minecraft/item/ItemSword,net/minecraft/item/Item
func_150895_a,getSubItems,net/minecraft/item/ItemPotion,net/minecraft/item/ItemSkull,net/minecraft/item/ItemMonsterPlacer,net/minecraft/item/ItemBanner,net/minecraft/item/ItemBlock,net/minecraft/item/ItemCoal,net/minecraft/item/ItemDye,net/minecraft/item/ItemFishFood,net/minecraft/item/ItemAppleGold,net/minecraft/item/Item
func_77653_i,getItemStackDisplayName,net/minecraft/item/ItemPotion,net/minecraft/item/ItemSkull,net/minecraft/item/ItemMonsterPlacer,net/minecraft/item/ItemEditableBook,net/minecraft/item/ItemBanner,net/minecraft/item/Item
func_77834_f,getEffects,net/minecraft/item/ItemPotion
func_77831_g,isSplash,net/minecraft/item/ItemPotion
func_77636_d,hasEffect,net/minecraft/item/ItemPotion,net/minecraft/item/ItemSimpleFoiled,net/minecraft/item/ItemEditableBook,net/minecraft/item/ItemEnchantedBook,net/minecraft/item/ItemExpBottle,net/minecraft/item/ItemAppleGold,net/minecraft/item/Item
func_77620_a,getColorFromDamage,net/minecraft/item/ItemPotion
func_77833_h,isEffectInstant,net/minecraft/item/ItemPotion
func_77832_l,getEffects,net/minecraft/item/ItemPotion
valueOf,valueOf,net/minecraft/item/EnumRarity
values,values,net/minecraft/item/EnumRarity
func_150926_b,getRecord,net/minecraft/item/ItemRecord
func_150927_i,getRecordNameLocal,net/minecraft/item/ItemRecord
func_77613_e,getRarity,net/minecraft/item/ItemRecord,net/minecraft/item/ItemEnchantedBook,net/minecraft/item/ItemAppleGold,net/minecraft/item/Item
func_77644_a,hitEntity,net/minecraft/item/ItemSaddle,net/minecraft/item/ItemSword,net/minecraft/item/ItemTool,net/minecraft/item/Item
func_179218_a,onBlockDestroyed,net/minecraft/item/ItemShears,net/minecraft/item/ItemSword,net/minecraft/item/ItemTool,net/minecraft/item/Item
func_179215_a,updateItemStackNBT,net/minecraft/item/ItemSkull,net/minecraft/item/Item
func_179222_a,canPlaceBlockOnSide,net/minecraft/item/ItemSlab,net/minecraft/item/ItemBlock
func_180615_a,tryPlace,net/minecraft/item/ItemSlab
func_77840_a,spawnCreature,net/minecraft/item/ItemMonsterPlacer
func_82789_a,getIsRepairable,net/minecraft/item/ItemSword,net/minecraft/item/ItemArmor,net/minecraft/item/ItemTool,net/minecraft/item/Item
func_77619_b,getItemEnchantability,net/minecraft/item/ItemSword,net/minecraft/item/ItemArmor,net/minecraft/item/ItemBook,net/minecraft/item/ItemBow,net/minecraft/item/ItemTool,net/minecraft/item/ItemFishingRod,net/minecraft/item/Item
func_150931_i,getDamageVsEntity,net/minecraft/item/ItemSword
func_150932_j,getToolMaterialName,net/minecraft/item/ItemSword
func_111205_h,getItemAttributeModifiers,net/minecraft/item/ItemSword,net/minecraft/item/ItemTool,net/minecraft/item/Item
func_77662_d,isFull3D,net/minecraft/item/ItemSword,net/minecraft/item/ItemCarrotOnAStick,net/minecraft/item/ItemTool,net/minecraft/item/ItemFishingRod,net/minecraft/item/ItemHoe,net/minecraft/item/Item
func_150943_a,setSubtypeNames,net/minecraft/item/ItemColored
func_82358_a,isUsernameIndex,net/minecraft/command/CommandEnchant,net/minecraft/command/CommandEntityData,net/minecraft/command/CommandExecuteAt,net/minecraft/command/CommandXP,net/minecraft/command/CommandGameMode,net/minecraft/command/CommandGive,net/minecraft/command/CommandKill,net/minecraft/command/server/CommandMessage,net/minecraft/command/server/CommandMessageRaw,net/minecraft/command/CommandPlaySound,net/minecraft/command/CommandReplaceItem,net/minecraft/command/server/CommandScoreboard,net/minecraft/command/CommandSetSpawnpoint,net/minecraft/command/CommandStats,net/minecraft/command/server/CommandTeleport,net/minecraft/command/server/CommandTestFor,net/minecraft/command/CommandTitle,net/minecraft/command/CommandBase,net/minecraft/command/ICommand,net/minecraft/command/server/CommandAchievement,net/minecraft/command/CommandClearInventory,net/minecraft/command/CommandEffect
func_90022_d,getListOfPlayers,net/minecraft/command/CommandEnchant
valueOf,valueOf,net/minecraft/item/EnumAction
values,values,net/minecraft/item/EnumAction
func_150930_a,isNBTValid,net/minecraft/item/ItemWritableBook
func_179229_a,resolveContents,net/minecraft/item/ItemEditableBook
func_77828_a,validBookTagContents,net/minecraft/item/ItemEditableBook
func_179230_h,getGeneration,net/minecraft/item/ItemEditableBook
func_77909_a,getPotionPrefixIndex,net/minecraft/potion/PotionHelper
func_77914_a,checkFlag,net/minecraft/potion/PotionHelper
func_77908_a,getPotionPrefixIndexFlags,net/minecraft/potion/PotionHelper
func_77906_a,brewBitOperations,net/minecraft/potion/PotionHelper
func_77913_a,applyIngredient,net/minecraft/potion/PotionHelper
func_77915_a,getLiquidColor,net/minecraft/potion/PotionHelper
func_77912_a,parsePotionEffects,net/minecraft/potion/PotionHelper
func_77911_a,calcPotionLiquidColor,net/minecraft/potion/PotionHelper
func_77904_a,getPotionEffect,net/minecraft/potion/PotionHelper
func_77917_b,getPotionEffects,net/minecraft/potion/PotionHelper
func_82817_b,getAreAmbient,net/minecraft/potion/PotionHelper
func_77905_c,getPotionPrefix,net/minecraft/potion/PotionHelper
func_77910_c,isFlagSet,net/minecraft/potion/PotionHelper
func_77916_d,isFlagUnset,net/minecraft/potion/PotionHelper
func_77907_h,countSetFlags,net/minecraft/potion/PotionHelper
func_77570_a,getRecipeSize,net/minecraft/item/crafting/RecipesArmorDyes,net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern,net/minecraft/item/crafting/RecipesBanners$RecipeDuplicatePattern,net/minecraft/item/crafting/RecipeBookCloning,net/minecraft/item/crafting/RecipeFireworks,net/minecraft/item/crafting/RecipesMapCloning,net/minecraft/item/crafting/IRecipe,net/minecraft/item/crafting/RecipeRepairItem,net/minecraft/item/crafting/ShapedRecipes,net/minecraft/item/crafting/ShapelessRecipes
func_77572_b,getCraftingResult,net/minecraft/item/crafting/RecipesArmorDyes,net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern,net/minecraft/item/crafting/RecipesBanners$RecipeDuplicatePattern,net/minecraft/item/crafting/RecipeBookCloning,net/minecraft/item/crafting/RecipeFireworks,net/minecraft/item/crafting/RecipesMapCloning,net/minecraft/item/crafting/RecipesMapExtending,net/minecraft/item/crafting/IRecipe,net/minecraft/item/crafting/RecipeRepairItem,net/minecraft/item/crafting/ShapedRecipes,net/minecraft/item/crafting/ShapelessRecipes
func_77569_a,matches,net/minecraft/item/crafting/RecipesArmorDyes,net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern,net/minecraft/item/crafting/RecipesBanners$RecipeDuplicatePattern,net/minecraft/item/crafting/RecipeBookCloning,net/minecraft/item/crafting/RecipeFireworks,net/minecraft/item/crafting/RecipesMapCloning,net/minecraft/item/crafting/RecipesMapExtending,net/minecraft/item/crafting/IRecipe,net/minecraft/item/crafting/RecipeRepairItem,net/minecraft/item/crafting/ShapedRecipes,net/minecraft/item/crafting/ShapelessRecipes
func_77571_b,getRecipeOutput,net/minecraft/item/crafting/RecipesArmorDyes,net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern,net/minecraft/item/crafting/RecipesBanners$RecipeDuplicatePattern,net/minecraft/item/crafting/RecipeBookCloning,net/minecraft/item/crafting/RecipeFireworks,net/minecraft/item/crafting/RecipesMapCloning,net/minecraft/item/crafting/IRecipe,net/minecraft/item/crafting/RecipeRepairItem,net/minecraft/item/crafting/ShapedRecipes,net/minecraft/item/crafting/ShapelessRecipes
func_179532_b,getRemainingItems,net/minecraft/item/crafting/RecipesArmorDyes,net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern,net/minecraft/item/crafting/RecipesBanners$RecipeDuplicatePattern,net/minecraft/item/crafting/RecipeBookCloning,net/minecraft/item/crafting/RecipeFireworks,net/minecraft/item/crafting/RecipesMapCloning,net/minecraft/item/crafting/IRecipe,net/minecraft/item/crafting/RecipeRepairItem,net/minecraft/item/crafting/ShapedRecipes,net/minecraft/item/crafting/ShapelessRecipes
func_77609_a,addRecipes,net/minecraft/item/crafting/RecipesArmor
func_179533_c,func_179533_c,net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern
func_179534_a,addRecipes,net/minecraft/item/crafting/RecipesBanners
func_77607_a,addRecipes,net/minecraft/item/crafting/RecipesDyes
func_77608_a,addRecipes,net/minecraft/item/crafting/RecipesFood
func_77602_a,instance,net/minecraft/item/crafting/FurnaceRecipes
func_151393_a,addSmeltingRecipeForBlock,net/minecraft/item/crafting/FurnaceRecipes
func_151396_a,addSmelting,net/minecraft/item/crafting/FurnaceRecipes
func_151395_a,getSmeltingResult,net/minecraft/item/crafting/FurnaceRecipes
func_151397_a,compareItemStacks,net/minecraft/item/crafting/FurnaceRecipes
func_151394_a,addSmeltingRecipe,net/minecraft/item/crafting/FurnaceRecipes
func_77599_b,getSmeltingList,net/minecraft/item/crafting/FurnaceRecipes
func_151398_b,getSmeltingExperience,net/minecraft/item/crafting/FurnaceRecipes
func_77590_a,addRecipes,net/minecraft/item/crafting/RecipesIngots
compare,compare,net/minecraft/item/crafting/CraftingManager$1
compare,compare,net/minecraft/item/crafting/CraftingManager$1
func_77594_a,getInstance,net/minecraft/item/crafting/CraftingManager
func_180302_a,addRecipe,net/minecraft/item/crafting/CraftingManager
func_82787_a,findMatchingRecipe,net/minecraft/item/crafting/CraftingManager
func_92103_a,addRecipe,net/minecraft/item/crafting/CraftingManager
func_77592_b,getRecipeList,net/minecraft/item/crafting/CraftingManager
func_180303_b,func_180303_b,net/minecraft/item/crafting/CraftingManager
func_77596_b,addShapelessRecipe,net/minecraft/item/crafting/CraftingManager
func_77573_a,checkMatch,net/minecraft/item/crafting/ShapedRecipes
func_77589_a,addRecipes,net/minecraft/item/crafting/RecipesCrafting
func_77586_a,addRecipes,net/minecraft/item/crafting/RecipesTools
func_77583_a,addRecipes,net/minecraft/item/crafting/RecipesWeapons
func_77321_a,getMinEnchantability,net/minecraft/enchantment/EnchantmentArrowDamage,net/minecraft/enchantment/EnchantmentArrowFire,net/minecraft/enchantment/EnchantmentArrowInfinite,net/minecraft/enchantment/EnchantmentArrowKnockback,net/minecraft/enchantment/EnchantmentDamage,net/minecraft/enchantment/EnchantmentDurability,net/minecraft/enchantment/EnchantmentDigging,net/minecraft/enchantment/Enchantment,net/minecraft/enchantment/EnchantmentFireAspect,net/minecraft/enchantment/EnchantmentFishingSpeed,net/minecraft/enchantment/EnchantmentKnockback,net/minecraft/enchantment/EnchantmentLootBonus,net/minecraft/enchantment/EnchantmentOxygen,net/minecraft/enchantment/EnchantmentProtection,net/minecraft/enchantment/EnchantmentThorns,net/minecraft/enchantment/EnchantmentUntouching,net/minecraft/enchantment/EnchantmentWaterWalker,net/minecraft/enchantment/EnchantmentWaterWorker
